公司代號,公司名稱
3078,3078 僑威
3081,3081 聯亞
3083,3083 網龍
3085,3085 新零售
3086,3086 華義
3088,3088 艾訊
3089,3089 億杰
3093,3093 港建*
3095,3095 及成
3105,3105 穩懋
3114,3114 好德
3115,3115 富榮綱
3118,3118 進階
3122,3122 笙泉
3128,3128 昇銳
3131,3131 弘塑
3141,3141 晶宏
3147,3147 大綜
3152,3152 璟德
3162,3162 精確
3163,3163 波若威
3169,3169 亞信
3171,3171 新洲
3176,3176 基亞
3178,3178 公準
3188,3188 鑫龍騰
3191,3191 雲嘉南科技
3202,3202 樺晟
3205,3205 佰研
3206,3206 志豐
3207,3207 耀勝
3211,3211 順達
3213,3213 茂訊
3217,3217 優群
3218,3218 大學光
3219,3219 倚強科
3221,3221 台嘉碩
3224,3224 三顧
3226,3226 至寶電
3227,3227 原相
3228,3228 金麗科
3230,3230 錦明
3232,3232 昱捷
3234,3234 光環
3236,3236 千如
3252,3252 海灣
3259,3259 鑫創
3260,3260 威剛
3264,3264 欣銓
3265,3265 台星科
3268,3268 海德威
3272,3272 東碩
3276,3276 宇環
3284,3284 太普高
3285,3285 微端
3287,3287 廣寰科
3288,3288 點晶
3289,3289 宜特
3290,3290 東浦
3293,3293 鈊象
3294,3294 英濟
3297,3297 杭特
3303,3303 岱稜
3306,3306 鼎天
3310,3310 佳穎
3313,3313 斐成
3317,3317 尼克森
3322,3322 建舜電
3323,3323 加百裕
3324,3324 雙鴻
3325,3325 旭品
3332,3332 幸康
3339,3339 泰谷
3349,3349 寶德
3354,3354 律勝
3357,3357 臺慶科
3360,3360 尚立
3362,3362 先進光
3363,3363 上詮
3372,3372 典範
3373,3373 熱映
3374,3374 精材
3379,3379 彬台
3388,3388 崇越電
3390,3390 旭軟
3402,3402 漢科
3426,3426 台興
3430,3430 奇鈦科
3434,3434 哲固
3438,3438 類比科
3441,3441 聯一光電
3444,3444 利機
3455,3455 由田
3465,3465 進泰電子
3466,3466 德晉
3479,3479 安勤
3483,3483 力致
3484,3484 崧騰
3489,3489 森寶
3490,3490 單井
3491,3491 昇達科
3492,3492 長盛
3498,3498 陽程
3499,3499 環天科
3508,3508 位速
3511,3511 矽瑪
3512,3512 皇龍
3516,3516 亞帝歐
3520,3520 華盈
3521,3521 鴻翊
3522,3522 御頂
3523,3523 迎輝
3526,3526 凡甲
3527,3527 聚積
3529,3529 力旺
3531,3531 先益
3537,3537 堡達
3540,3540 曜越
3541,3541 西柏
3546,3546 宇峻
3548,3548 兆利
3551,3551 世禾
3552,3552 同致
3555,3555 博士旺
3556,3556 禾瑞亞
3558,3558 神準
3564,3564 其陽
3567,3567 逸昌
3570,3570 大塚
3577,3577 泓格
3580,3580 友威科
3581,3581 博磊
3587,3587 閎康
3594,3594 磐儀
3597,3597 映興
3609,3609 三一東林
3611,3611 鼎翰
3615,3615 安可
3623,3623 富晶通
3624,3624 光頡
3625,3625 西勝
3628,3628 盈正
3629,3629 地心引力
3630,3630 新鉅科
3631,3631 晟楠
3632,3632 研勤
3646,3646 艾恩特
3663,3663 鑫科
3664,3664 安瑞-KY
3666,3666 光耀
3672,3672 康聯訊
3675,3675 德微
3680,3680 家登
3684,3684 榮昌
3685,3685 元創精密
3687,3687 歐買尬
3689,3689 湧德
3691,3691 碩禾
3693,3693 營邦
3707,3707 漢磊
3709,3709 鑫聯大投控
3710,3710 連展投控
3713,3713 新晶投控
4102,4102 永日
4105,4105 東洋
4107,4107 邦特
4109,4109 加捷生醫
4111,4111 濟生
4113,4113 聯上
4114,4114 健喬
4116,4116 明基醫
4120,4120 友華
4121,4121 優盛
4123,4123 晟德
4126,4126 太醫
4127,4127 天良
4128,4128 中天
4129,4129 聯合
4130,4130 健亞
4131,4131 浩泰
4138,4138 曜亞
4139,4139 馬光-KY
4147,4147 中裕
4153,4153 鈺緯
4154,4154 樂威科-KY
4157,4157 太景*-KY
4160,4160 訊聯基因
4161,4161 聿新科
4162,4162 智擎
4163,4163 鐿鈦
4167,4167 松瑞藥
4168,4168 醣聯
4171,4171 瑞基
4173,4173 久裕
4174,4174 浩鼎
4175,4175 杏一
4183,4183 福永生技
4188,4188 安克
4192,4192 杏國
4198,4198 欣大健康
4205,4205 中華食
4207,4207 環泰
4303,4303 信立
4304,4304 勝昱
4305,4305 世坤
4401,4401 東隆興
4402,4402 福大
4406,4406 新昕纖
4413,4413 飛寶企業
4416,4416 三圓
4417,4417 金洲
4419,4419 元勝
4420,4420 光明
4430,4430 耀億
4432,4432 銘旺實
4433,4433 興采
4442,4442 竣邦-KY
4502,4502 健信
4503,4503 金雨
4506,4506 崇友
4510,4510 高鋒
4513,4513 福裕
4523,4523 永彰
4527,4527 方方土霖
4528,4528 江興鍛
4529,4529 淳紳
4530,4530 宏易
4533,4533 協易機
4534,4534 慶騰
4535,4535 至興
4538,4538 大詠城
4541,4541 晟田
4542,4542 科嶠
4543,4543 萬在
4549,4549 桓達
4550,4550 長佳
4554,4554 橙的
4556,4556 旭然
4558,4558 寶緯
4561,4561 健椿
4563,4563 百德
4568,4568 科際精密
4577,4577 達航科技
4580,4580 捷流閥業
4584,4584 君帆
4609,4609 唐鋒
4702,4702 中美實
4706,4706 大恭
4707,4707 磐亞
4711,4711 永純
4712,4712 福格創新
4714,4714 永捷
4716,4716 大立
4721,4721 美琪瑪
4726,4726 永昕
4728,4728 雙美
4729,4729 熒茂
4735,4735 豪展
4736,4736 泰博
4741,4741 泓瀚
4743,4743 合一
4744,4744 皇將
4745,4745 合富-KY
4747,4747 強生製藥
4754,4754 國碳科
4760,4760 勤凱科技
4767,4767 誠泰科技
4768,4768 晶呈科技
4804,4804 大略-KY
4806,4806 昇華
4903,4903 聯光通
4905,4905 台聯電
4907,4907 富宇
4908,4908 前鼎
4909,4909 新復興
4911,4911 德英
4923,4923 力士
4924,4924 欣厚-KY
4931,4931 新盛力
4933,4933 友輝
4939,4939 亞電
4945,4945 陞達科技
4946,4946 辣椒
4950,4950 牧東
4951,4951 精拓科
4953,4953 緯軟
4966,4966 譜瑞-KY
4971,4971 IET-KY
4972,4972 湯石照明
4973,4973 廣穎電通
4974,4974 亞泰
4979,4979 華星光
4987,4987 科誠
4991,4991 環宇-KY
4995,4995 晶達
5009,5009 榮剛
5011,5011 久陽
5013,5013 強新
5014,5014 建錩
5015,5015 華祺
5016,5016 松和
5201,5201 凱衛
5202,5202 力新
5205,5205 中茂
5206,5206 坤悅
5209,5209 新鼎
5210,5210 寶碩
5211,5211 蒙恬
5212,5212 凌網
5213,5213 亞昕
5220,5220 萬達光電
5223,5223 安力-KY
5227,5227 立凱-KY
5228,5228 鈺鎧
5230,5230 雷笛克光學
5236,5236 凌陽創新
5245,5245 智晶
5251,5251 天鉞電
5263,5263 智崴
5272,5272 笙科
5274,5274 信驊
5276,5276 達輝-KY
5278,5278 尚凡
5287,5287 數字
5289,5289 宜鼎
5291,5291 邑昇
5299,5299 杰力
5301,5301 寶得利
5302,5302 太欣
5309,5309 系統電
5310,5310 天剛
5312,5312 寶島科
5314,5314 世紀
5315,5315 光聯
5321,5321 美而快
5324,5324 士開
5328,5328 華容
5340,5340 建榮
5344,5344 立衛
5345,5345 天揚
5347,5347 世界
5348,5348 正能量智能
5351,5351 鈺創
5353,5353 台林
5355,5355 佳總
5356,5356 協益
5364,5364 力麗店
5371,5371 中光電
5381,5381 合正
5383,5383 金利
5386,5386 青雲
5392,5392 能率
5398,5398 慕康生醫
5403,5403 中菲
5410,5410 國眾
5425,5425 台半
5426,5426 振發
5432,5432 新門
5438,5438 東友
5439,5439 高技
5443,5443 均豪
5450,5450 南良
5452,5452 佶優
5455,5455 昇益
5457,5457 宣德
5460,5460 同協
5464,5464 霖宏
5465,5465 富驊
5468,5468 凱鈺
5474,5474 聰泰
5475,5475 德宏
5478,5478 智冠
5481,5481 新華
5483,5483 中美晶
5487,5487 通泰
5488,5488 松普
5489,5489 彩富
5490,5490 同亨
5493,5493 三聯
5498,5498 凱崴
5508,5508 永信建
5511,5511 德昌
5512,5512 力麒
5514,5514 三豐
5516,5516 雙喜
5520,5520 力泰
5523,5523 豐謙
5529,5529 鉅陞
5530,5530 龍巖
5536,5536 聖暉*
5543,5543 桓鼎-KY
5601,5601 台聯櫃
5603,5603 陸海
5604,5604 中連
5609,5609 中菲行
5701,5701 劍湖山
5703,5703 亞都麗緻
5704,5704 老爺知
5864,5864 致和證
5878,5878 台名
5902,5902 德記
5903,5903 全家
5904,5904 寶雅
5905,5905 南仁湖
6015,6015 宏遠證
6016,6016 康和證
6020,6020 大展證
6021,6021 美好證
6023,6023 元大期貨
6026,6026 福邦證
6101,6101 寬魚國際
6103,6103 合邦
6104,6104 創惟
6109,6109 亞元
6111,6111 大宇資
6113,6113 亞矽
6114,6114 久威
6118,6118 建達
6121,6121 新普
6122,6122 擎邦
6123,6123 上奇
6124,6124 業強
6125,6125 廣運
6126,6126 信音
6127,6127 九豪
6129,6129 普誠
6130,6130 上亞科技
6134,6134 萬旭
6138,6138 茂達
6140,6140 訊達電腦
6143,6143 振曜
6144,6144 得利影
6146,6146 耕興
6147,6147 頎邦
6148,6148 驊宏資
6150,6150 撼訊
6151,6151 晉倫
6154,6154 順發
6156,6156 松上
6158,6158 禾昌
6160,6160 欣技
6161,6161 捷波
6163,6163 華電網
6167,6167 久正
6169,6169 昱泉
6170,6170 統振
6171,6171 大城地產
6173,6173 信昌電
6174,6174 安碁
6175,6175 立敦
6179,6179 亞通
6180,6180 橘子
6182,6182 合晶
6185,6185 幃翔
6186,6186 新潤
6187,6187 萬潤
6188,6188 廣明
6190,6190 萬泰科
6194,6194 育富
6195,6195 詩肯
6198,6198 瑞築
6199,6199 天品
6203,6203 海韻電
6204,6204 艾華
6207,6207 雷科
6208,6208 日揚
6210,6210 慶生
6212,6212 理銘
6217,6217 中探針
6218,6218 豪勉
6219,6219 富旺
6220,6220 岳豐
6221,6221 晉泰
6222,6222 上揚
6223,6223 旺矽
6227,6227 茂綸
6228,6228 全譜
6229,6229 研通
6231,6231 系微
6233,6233 旺玖
6234,6234 高僑
6236,6236 中湛
6237,6237 驊訊
6240,6240 松崗
6241,6241 易通展
6242,6242 立康
6244,6244 茂迪
6245,6245 立端
6246,6246 臺龍
6248,6248 沛波
6259,6259 百徽
6261,6261 久元
6263,6263 普萊德
6264,6264 富裔
6265,6265 方土昶
6266,6266 泰詠
6270,6270 倍微
6274,6274 台燿
6275,6275 元山
6276,6276 安鈦克
6279,6279 胡連
6284,6284 佳邦
6287,6287 元隆
6290,6290 良維
6291,6291 沛亨
6292,6292 迅德
6294,6294 智基
6404,6404 通訊-KY
6411,6411 晶焱
6417,6417 韋僑
6418,6418 詠昇
6419,6419 京晨科
6425,6425 易發
6432,6432 今展科
6435,6435 大中
6441,6441 廣錠
6446,6446 藥華藥
6457,6457 紘康
6461,6461 益得
6462,6462 神盾
6465,6465 威潤
6469,6469 大樹
6470,6470 宇智
6472,6472 保瑞
6482,6482 弘煜科
6485,6485 點序
6486,6486 互動
6488,6488 環球晶
6492,6492 生華科
6494,6494 九齊
6496,6496 科懋
6499,6499 益安
6506,6506 雙邦
6508,6508 惠光
6509,6509 聚和
6510,6510 精測
6512,6512 啟發電
6514,6514 芮特-KY
6516,6516 勤崴國際
6517,6517 保勝光學
6523,6523 達爾膚
6527,6527 明達醫
6530,6530 創威
6532,6532 瑞耘
6535,6535 順藥
6538,6538 倉和
6542,6542 隆中
6546,6546 正基
6547,6547 高端疫苗
6548,6548 長科*
6556,6556 勝品
6560,6560 欣普羅
6561,6561 是方
6568,6568 宏觀
6569,6569 醫揚
6570,6570 維田
6574,6574 霈方
6576,6576 逸達
6577,6577 勁豐
6578,6578 達邦蛋白
6584,6584 南俊國際
6588,6588 東典
6589,6589 台康生技
6590,6590 普鴻
6593,6593 台灣銘板
6596,6596 寬宏藝術
6603,6603 富強鑫
6609,6609 瀧澤科
6612,6612 奈米醫材
6613,6613 朋億*
6615,6615 慧智
6616,6616 特昇-KY
6624,6624 萬年清
6629,6629 泰金-KY
6640,6640 均華
6642,6642 富致
6643,6643 M31
6649,6649 台生材
6651,6651 全宇昕
6654,6654 天正國際
6661,6661 威健生技
6662,6662 樂斯科
6664,6664 群翊
6667,6667 信紘科
6679,6679 鈺太
6680,6680 鑫創電子
6683,6683 雍智科技
6684,6684 安格
6690,6690 安碁資訊
6693,6693 廣閎科
6697,6697 東捷資訊
6703,6703 軒郁
6708,6708 天擎
6712,6712 長聖
6716,6716 應廣
6721,6721 信實
6727,6727 亞泰金屬
6728,6728 上洋
6732,6732 昇佳電子
6733,6733 博晟生醫
6735,6735 美達科技
6741,6741 91APP*-KY
6747,6747 亨泰光
6751,6751 智聯服務
6752,6752 叡揚
6761,6761 穩得
6762,6762 達亞
6763,6763 綠界科技
6767,6767 台微醫
6788,6788 華景電
6791,6791 虎門科技
6803,6803 崑鼎
6804,6804 明係
6811,6811 宏碁資訊
6821,6821 聯寶
6823,6823 濾能
6829,6829 千附精密
6840,6840 東研信超
6841,6841 長佳智能
6843,6843 進典
6846,6846 綠茵
6855,6855 數泓科
6856,6856 鑫傳
6859,6859 伯特光
6865,6865 偉康科技
6870,6870 騰雲
6874,6874 倍力
6877,6877 鏵友益
6894,6894 衛司特
6895,6895 宏碩系統
6904,6904 伯鑫
6922,6922 宸曜
7402,7402 邑錡
7556,7556 意德士科技
8024,8024 佑華
8027,8027 鈦昇
8032,8032 光菱
8034,8034 榮群
8038,8038 長園科
8040,8040 九暘
8042,8042 金山電
8043,8043 蜜望實
8044,8044 網家
8047,8047 星雲
8048,8048 德勝
8049,8049 晶采
8050,8050 廣積
8054,8054 安國
8059,8059 凱碩
8064,8064 東捷
8066,8066 來思達
8067,8067 志旭
8068,8068 全達
8069,8069 元太
8071,8071 能率網通
8074,8074 鉅橡
8076,8076 伍豐
8077,8077 洛碁
8080,8080 印鉐
8083,8083 瑞穎
8084,8084 巨虹
8085,8085 福華
8086,8086 宏捷科
8087,8087 華鎂鑫
8088,8088 品安
8089,8089 康全電訊
8091,8091 翔名
8092,8092 建暐
8093,8093 保銳
8096,8096 擎亞
8097,8097 常珵
8099,8099 大世科
8107,8107 大億金茂
8109,8109 博大
8111,8111 立碁
8121,8121 越峰
8147,8147 正淩
8155,8155 博智
8171,8171 天宇
8176,8176 智捷
8182,8182 加高
8183,8183 精星
8227,8227 巨有科技
8234,8234 新漢
8240,8240 華宏
8255,8255 朋程
8277,8277 商丞
8279,8279 生展
8284,8284 三竹
8289,8289 泰藝
8291,8291 尚茂
8299,8299 群聯
8342,8342 益張
8349,8349 恒耀國際
8354,8354 冠好
8358,8358 金居
8383,8383 千附
8390,8390 金益鼎
8401,8401 白紗科
8403,8403 盛弘
8409,8409 商之器
8410,8410 森田
8415,8415 大國鋼
8416,8416 實威
8418,8418 捷必勝-KY
8420,8420 明揚
8421,8421 旭源
8423,8423 保綠-KY
8424,8424 惠普
8426,8426 紅木-KY
8431,8431 匯鑽科
8432,8432 東生華
8433,8433 弘帆
8435,8435 鉅邁
8436,8436 大江
8437,8437 大地-KY
8440,8440 綠電
8444,8444 綠河-KY
8446,8446 華研
8450,8450 霹靂
8455,8455 大拓-KY
8472,8472 夠麻吉
8477,8477 創業家
8489,8489 三貝德
8905,8905 裕國
8906,8906 花王
8908,8908 欣雄
8916,8916 光隆
8917,8917 欣泰
8921,8921 沈氏
8923,8923 時報
8924,8924 大田
8927,8927 北基
8928,8928 鉅明
8929,8929 富堡
8930,8930 青鋼
8931,8931 大汽電
8932,8932 智通
8933,8933 愛地雅
8935,8935 邦泰
8936,8936 國統
8937,8937 合騏
8938,8938 明安
8941,8941 關中
8942,8942 森鉅
9949,9949 琉園
9950,9950 萬國通
9951,9951 皇田
9960,9960 邁達康
9962,9962 有益
公司代號,公司代號 公司簡稱
1260,1260 富味鄉
1269,1269 乾杯
1271,1271 晨暉生技
1293,1293 利統
1294,1294 漢田生技
1295,1295 生合
1343,1343 旭東環保
1480,1480 東盟開發
1563,1563 巧新
1585,1585 鎧鉅
1594,1594 日高
1780,1780 立弘
2071,2071 震南鐵
2072,2072 世紀風電
2237,2237 華德動能
2245,2245 詠勝昌
2248,2248 華勝-KY
2249,2249 湧盛
2252,2252 為昇科
2255,2255 凱銳光電
2256,2256 歐特明
2644,2644 中信造船
2646,2646 星宇航空
2730,2730 美麗信
2733,2733 維格餅家
2741,2741 老四川
2750,2750 桃禧
2751,2751 王座
2758,2758 路易莎咖啡
2760,2760 巨宇翔
2761,2761 橘焱胡同
2938,2938 床的世界
2941,2941 米斯特
2942,2942 京站
2949,2949 欣新網
3097,3097 拍檔
3117,3117 年程
3135,3135 凌航
3150,3150 鈺寶
3158,3158 嘉實
3168,3168 眾福科
3184,3184 微邦
3485,3485 敘豐
3585,3585 聯致
3595,3595 山太士
3603,3603 建祥國際
3627,3627 華信科
3633,3633 云光
3659,3659 百辰
3678,3678 聯享
4115,4115 善德生技
4117,4117 普生
4132,4132 國鼎
4150,4150 優你康
4166,4166 友霖
4169,4169 泰宗
4172,4172 因華
4186,4186 尖端醫
4194,4194 禾生技
4195,4195 基米
4197,4197 暐世
4431,4431 敏成健康
4441,4441 振大環球
4537,4537 旭東
4544,4544 春日
4546,4546 長亨
4553,4553 盛復
4559,4559 久裕興
4565,4565 宏偉
4573,4573 高明鐵
4575,4575 銓寶
4578,4578 總格精密
4582,4582 聚恆
4587,4587 寶元數控
4588,4588 玖鼎電力
4589,4589 碩陽電機
4724,4724 宣捷幹細胞
4732,4732 彥臣
4738,4738 尚化
4749,4749 新應材
4765,4765 磐采
4771,4771 望隼
4772,4772 台特化
4773,4773 高福
4925,4925 智微
4949,4949 有成精密
4980,4980 佐臻
5233,5233 有量
5240,5240 建騰
5246,5246 勵威
5248,5248 景傳
5254,5254 欣訊科技
5262,5262 立達
5267,5267 龍翩
5271,5271 紘通
5277,5277 葳天
5297,5297 廣化
5547,5547 久舜
5548,5548 安倉
5859,5859 遠壽
5863,5863 瑞興銀
6027,6027 德信
6028,6028 公勝保經
6035,6035 悠遊卡
6272,6272 驊陞
6403,6403 群登
6407,6407 相互
6423,6423 億而得
6428,6428 台灣淘米
6434,6434 達輝光電
6473,6473 美賣*
6474,6474 華豫寧
6493,6493 雷虎生
6495,6495 納諾*-KY
6498,6498 久禾光
6518,6518 康科特
6534,6534 正瀚
6536,6536 碩豐
6539,6539 麗彤
6543,6543 普惠醫工
6549,6549 景凱
6555,6555 榮炭
6559,6559 研晶
6562,6562 聯亞藥
6564,6564 安特羅
6565,6565 物聯
6572,6572 博錸
6580,6580 台睿
6583,6583 友松
6586,6586 醣基
6595,6595 光禹國際
6597,6597 立誠
6599,6599 普達系統
6610,6610 安成生技
6617,6617 共信-KY
6618,6618 永虹先進
6620,6620 漢達
6621,6621 華宇藥
6622,6622 百聿數碼
6626,6626 唯數
6634,6634 欣耀
6637,6637 醫影
6638,6638 沅聖
6639,6639 源大環能
6645,6645 金萬林
6648,6648 斯其大
6650,6650 帝圖
6652,6652 雅祥生醫
6665,6665 康聯生醫
6673,6673 和詮
6676,6676 祥翊
6677,6677 瑩碩生技
6682,6682 華旭矽材
6692,6692 進能服
6696,6696 仁新
6699,6699 奇邑
6704,6704 國璽幹細胞
6705,6705 振躍精密
6707,6707 富基電通
6709,6709 昱厚生技
6720,6720 久昌
6722,6722 輝創
6723,6723 傑智環境
6725,6725 矽科宏晟
6729,6729 機光科技
6730,6730 常廣
6731,6731 啟坤
6734,6734 安盛生
6737,6737 秀育
6738,6738 鼎恒
6739,6739 竹陞科技
6744,6744 豐技生技
6748,6748 亞果生醫
6750,6750 泰創工程
6755,6755 連鋐科技
6758,6758 冠亞
6764,6764 亞洲教育
6771,6771 平和環保
6775,6775 穎台科技
6780,6780 學習王
6784,6784 天凱科技
6785,6785 昱展新藥
6786,6786 芯測
6787,6787 晶瑞光
6793,6793 天力離岸
6794,6794 向榮生技
6797,6797 圓點奈米
6798,6798 展逸
6808,6808 三鼎生技
6810,6810 新穎生醫
6812,6812 梭特
6813,6813 富動科
6814,6814 路迦生醫
6815,6815 晶鑽生醫
6816,6816 捷智商訊
6817,6817 溫士頓
6818,6818 連騰
6819,6819 眾智
6820,6820 連訊
6825,6825 和暢科技
6826,6826 和淞
6827,6827 巨生醫
6831,6831 邁科
6832,6832 金鼎科
6833,6833 太康精密
6838,6838 台新藥
6839,6839 開陽能源
6842,6842 一元素
6844,6844 諾貝兒
6847,6847 普瑞博
6848,6848 拉法醫
6850,6850 光鼎生技
6857,6857 宏碁智醫
6858,6858 愛比科技
6864,6864 元樟生技
6867,6867 坦德科技
6868,6868 采威國際
6872,6872 浩宇生醫
6875,6875 國邑*
6878,6878 歐付寶
6879,6879 大江基因
6881,6881 潤德
6882,6882 甲尚
6884,6884 海柏特
6885,6885 全福生技
6886,6886 遠東生技
6891,6891 樂迦再生
6892,6892 台寶生醫
6898,6898 程曦資訊
6899,6899 創為精密
6903,6903 巨漢
6906,6906 現觀科
6908,6908 宏碁遊戲
6909,6909 創控
6910,6910 德鴻
6911,6911 群運
6912,6912 益鈞環科*-新
6913,6913 鴻呈
6914,6914 阜爾運通
6915,6915 美強光
6917,6917 竟天
6918,6918 愛派司
6919,6919 康霈
6920,6920 恆勁科技
6923,6923 中台
6925,6925 意藍
6926,6926 聖安生醫
6927,6927 聯合聚晶
6928,6928 攸泰科技
6929,6929 佑全
6931,6931 青松健康
6932,6932 水星生醫*
6935,6935 王子製藥
6936,6936 永鴻生技
6939,6939 啟弘生技
6940,6940 格斯科技*
6944,6944 兆聯實業
6945,6945 圓祥生技
6947,6947 台鎔科技
6951,6951 青新
6952,6952 大武山
6953,6953 家碩
6955,6955 邦睿生技
6958,6958 日盛台駿
6959,6959 兆捷科技
6961,6961 旅天下
6963,6963 品元-新
6967,6967 汎瑋材料
6968,6968 萬達寵物
6971,6971 惠民實業-新
6973,6973 永立榮-新
6976,6976 育世博-KY
6977,6977 聯純
6980,6980 鐳洋科技-新
6982,6982 大井泵浦
6983,6983 華洋精機
6984,6984 交流資服
6986,6986 和迅
6990,6990 華鉬
7419,7419 達勝
7427,7427 華上生醫
7443,7443 凡事康
7507,7507 環拓科技
7516,7516 清淨海
7530,7530 鋒魁科技
7547,7547 碩網
7551,7551 知識科技
7555,7555 美萌
7558,7558 群利科技
7561,7561 光晟生技
7562,7562 博來科技
7566,7566 亞果遊艇
7575,7575 安美得
7578,7578 利百景
7583,7583 國際海洋-新
7584,7584 樂意
7590,7590 怡和國際
7595,7595 世基生醫
7607,7607 通用幹細胞*-新
7610,7610 聯友金屬
7631,7631 聚賢研發-新
7702,7702 前端風電-新
7704,7704 明遠精密
7707,7707 益芯科
7712,7712 博盛半導體-新
7719,7719 碳基-新
8041,8041 東元精電
8045,8045 達運光電
8098,8098 慶康科技-新
8102,8102 傑霖科技
8115,8115 帝聞
8119,8119 公信
8162,8162 微矽電子
8272,8272 全景軟體
8298,8298 威睿
8329,8329 台視
8359,8359 錢櫃
8458,8458 影一
8487,8487 愛爾達
9957,9957 燁聯
